SWV ITM Data Console - ITM Port: 0
X: 50.363632, Y: -59.747570, Z: 936.612244
X: 47.818180, Y: -61.145630, Z: 938.571411
X: 53.636364, Y: -60.213589, Z: 938.693848
X: 48.666664, Y: -59.864079, Z: 939.183594
X: 52.303024, Y: -58.116501, Z: 938.693848
X: 48.303028, Y: -58.699028, Z: 939.551025
X: 49.030300, Y: -58.815533, Z: 940.285645
X: 49.878784, Y: -58.582520, Z: 940.653015
X: 50.242424, Y: -56.135921, Z: 937.714233
X: 50.969692, Y: -60.796116, Z: 938.448975
X: 45.515148, Y: -60.563103, Z: 939.183594
X: 50.727272, Y: -59.631065, Z: 936.979553
X: 51.696968, Y: -59.980583, Z: 939.061157
X: 46.363636, Y: -59.514561, Z: 938.326477
X: 51.818176, Y: -59.980583, Z: 939.183594
X: 47.212120, Y: -62.427185, Z: 939.061157
X: 47.575756, Y: -59.398056, Z: 938.693848
X: 51.454544, Y: -61.378639, Z: 939.795898
X: 52.181816, Y: -59.514561, Z: 939.795898
X: 49.030300, Y: -59.514561, Z: 940.653015
X: 49.636360, Y: -61.262135, Z: 940.408142
X: 49.636360, Y: -58.932037, Z: 938.081604
X: 50.121208, Y: -59.048542, Z: 936.612244
X: 49.636360, Y: -61.145630, Z: 938.938721
X: 51.575756, Y: -60.679607, Z: 939.918335
X: 48.181816, Y: -60.796116, Z: 938.326477
X: 50.727272, Y: -61.961166, Z: 940.653015
X: 48.060604, Y: -58.815533, Z: 937.714233
X: 51.090908, Y: -61.611649, Z: 937.469360
X: 47.212120, Y: -61.844658, Z: 938.204041
X: 48.787876, Y: -59.980583, Z: 941.020386
X: 53.151512, Y: -60.213589, Z: 940.163208
X: 50.242424, Y: -60.330097, Z: 937.469360
X: 49.515148, Y: -60.796116, Z: 938.326477
X: 51.333328, Y: -61.145630, Z: 940.163208
X: 46.121208, Y: -58.466019, Z: 938.326477
X: 51.333328, Y: -59.165047, Z: 939.183594
X: 48.666664, Y: -62.310677, Z: 941.142822
X: 53.393936, Y: -63.359222, Z: 938.081604
X: 48.909088, Y: -61.029121, Z: 940.897949
X: 48.424240, Y: -60.446602, Z: 938.816284
X: 51.575756, Y: -60.679607, Z: 939.061157
X: 48.909088, Y: -61.495144, Z: 938.448975
X: 49.999996, Y: -59.398056, Z: 939.183594
X: 47.696968, Y: -61.611649, Z: 937.714233
X: 50.242424, Y: -59.281551, Z: 938.816284
X: 49.393936, Y: -60.097084, Z: 939.673462
X: 51.333328, Y: -61.262135, Z: 936.244873
X: 49.999996, Y: -59.281551, Z: 937.591797
X: 48.545452, Y: -61.495144, Z: 938.571411
X: 50.121208, Y: -62.310677, Z: 936.979553
X: 49.030300, Y: -59.398056, Z: 938.326477
X: 51.818176, Y: -58.116501, Z: 937.224426
X: 45.515148, Y: -58.815533, Z: 939.306091
X: 51.939392, Y: -58.932037, Z: 938.326477
X: 52.787876, Y: -60.330097, Z: 936.734680
X: 49.757576, Y: -58.349514, Z: 936.857117
X: 49.757576, Y: -62.660191, Z: 937.714233
X: 52.181816, Y: -60.446602, Z: 938.693848
X: 49.393936, Y: -58.699028, Z: 940.530579
X: 48.303028, Y: -61.145630, Z: 935.632629
X: 46.606056, Y: -60.912621, Z: 937.101990
X: 50.727272, Y: -58.466019, Z: 941.265259
X: 49.999996, Y: -60.446602, Z: 937.224426
X: 49.757576, Y: -60.563103, Z: 939.061157
X: 46.969692, Y: -59.980583, Z: 938.571411
X: 48.060604, Y: -60.912621, Z: 937.469360
X: 51.818176, Y: -60.796116, Z: 940.408142
X: 46.606056, Y: -58.233009, Z: 937.224426
X: 48.060604, Y: -59.281551, Z: 938.816284
X: 50.242424, Y: -60.330097, Z: 938.448975
X: 49.515148, Y: -59.165047, Z: 939.551025
X: 48.545452, Y: -61.611649, Z: 938.693848
X: 47.696968, Y: -59.864079, Z: 937.101990
X: 50.363632, Y: -58.233009, Z: 938.204041
X: 49.999996, Y: -60.796116, Z: 938.448975
X: 45.999996, Y: -59.514561, Z: 939.183594
X: 56.060604, Y: -58.699028, Z: 939.428589
X: 41.272724, Y: -60.563103, Z: 939.551025
X: 52.060604, Y: -59.631065, Z: 938.938721
X: 49.393936, Y: -62.660191, Z: 935.755066
X: 46.606056, Y: -60.446602, Z: 938.448975
X: 49.393936, Y: -56.252426, Z: 937.469360
X: 50.606060, Y: -64.640778, Z: 940.408142
X: 47.939388, Y: -61.728153, Z: 938.081604
