SWV ITM Data Console - ITM Port: 0
-1045.469238
X: 14.606060, Y: 159.165039, Z: -1043.142822
X: 15.939394, Y: 159.398056, Z: -1044.000000
X: 10.484848, Y: 156.368927, Z: -1041.061279
X: 13.636363, Y: 157.533981, Z: -1039.469360
X: 3.575758, Y: 158.582520, Z: -1041.673462
X: 1.515152, Y: 153.805817, Z: -1040.571289
X: -0.060606, Y: 155.203888, Z: -1041.795898
X: 1.878788, Y: 155.669907, Z: -1041.673462
X: 5.636364, Y: 158.466003, Z: -1042.530518
X: 5.878788, Y: 160.679611, Z: -1041.306152
X: 8.424243, Y: 157.883484, Z: -1042.653076
X: 10.121212, Y: 157.650482, Z: -1044.000000
X: 4.060606, Y: 159.514557, Z: -1043.387695
X: 7.212121, Y: 158.582520, Z: -1043.265259
X: 6.121212, Y: 158.116501, Z: -1040.938721
X: 5.272727, Y: 156.834946, Z: -1041.428467
X: 9.757576, Y: 155.436890, Z: -1039.469360
X: 2.727273, Y: 153.689316, Z: -1039.959229
X: 2.242425, Y: 160.679611, Z: -1041.306152
X: 8.545455, Y: 161.728149, Z: -1038.734619
X: 5.030303, Y: 165.223297, Z: -1044.000000
X: 10.000000, Y: 161.145630, Z: -1038.857178
X: 5.393939, Y: 159.631073, Z: -1043.265259
X: 8.666667, Y: 156.601929, Z: -1041.673462
X: 2.606061, Y: 158.815521, Z: -1044.489746
X: 3.818182, Y: 162.543686, Z: -1039.346924
X: 3.090910, Y: 161.262131, Z: -1042.408081
X: 8.060606, Y: 162.660187, Z: -1040.571289
X: 5.030303, Y: 160.097076, Z: -1042.775513
X: 7.090909, Y: 158.699020, Z: -1044.489746
X: 6.363637, Y: 159.631073, Z: -1042.040771
X: 5.030303, Y: 161.029129, Z: -1041.918335
X: 3.575758, Y: 162.310669, Z: -1043.265259
X: 6.484849, Y: 163.825241, Z: -1041.918335
X: 6.242424, Y: 161.378632, Z: -1040.326416
X: 4.909091, Y: 159.165039, Z: -1041.551025
X: 5.272727, Y: 158.582520, Z: -1042.040771
X: 8.787879, Y: 162.077652, Z: -1041.795898
X: 6.363637, Y: 160.097076, Z: -1041.795898
X: 5.151515, Y: 161.611649, Z: -1042.408081
X: 4.909091, Y: 159.398056, Z: -1040.448975
X: 7.575758, Y: 160.679611, Z: -1042.163208
X: 4.787879, Y: 160.330093, Z: -1042.163208
X: 5.757576, Y: 161.145630, Z: -1042.408081
X: 3.939394, Y: 159.281555, Z: -1042.285645
X: 6.242424, Y: 158.466003, Z: -1043.020386
X: 8.060606, Y: 163.941727, Z: -1043.142822
X: 3.212122, Y: 161.029129, Z: -1042.040771
X: 6.363637, Y: 164.407761, Z: -1041.183594
X: 3.333334, Y: 160.446594, Z: -1041.673462
X: 4.909091, Y: 160.330093, Z: -1040.571289
X: 8.424243, Y: 160.213577, Z: -1041.918335
X: 7.333333, Y: 160.679611, Z: -1040.571289
X: 2.848485, Y: 160.097076, Z: -1041.428467
X: 4.545455, Y: 162.776688, Z: -1042.040771
X: 4.545455, Y: 162.310669, Z: -1042.285645
X: 6.363637, Y: 159.514557, Z: -1044.734619
X: 3.818182, Y: 161.145630, Z: -1043.020386
X: 6.484849, Y: 160.213577, Z: -1041.551025
X: 7.575758, Y: 161.262131, Z: -1042.285645
X: 5.151515, Y: 165.106796, Z: -1039.591797
X: 7.333333, Y: 162.310669, Z: -1043.020386
X: 7.090909, Y: 161.611649, Z: -1040.081543
X: 4.060606, Y: 161.029129, Z: -1041.428467
X: 6.848485, Y: 161.611649, Z: -1040.448975
X: 6.000000, Y: 161.495148, Z: -1040.448975
X: 6.242424, Y: 162.077652, Z: -1040.081543
X: 4.181818, Y: 161.961151, Z: -1041.306152
X: 3.696970, Y: 157.999985, Z: -1044.122437
X: 6.606061, Y: 161.961151, Z: -1042.408081
X: 5.636364, Y: 162.660187, Z: -1039.102051
X: 7.575758, Y: 162.893204, Z: -1039.959229
X: 8.666667, Y: 162.660187, Z: -1041.673462
X: 2.484849, Y: 161.029129, Z: -1042.775513
X: 7.212121, Y: 162.776688, Z: -1040.816284
X: 7.212121, Y: 164.407761, Z: -1041.551025
X: 4.666667, Y: 161.029129, Z: -1043.510132
X: 9.878788, Y: 159.980576, Z: -1040.693848
X: 7.454545, Y: 162.776688, Z: -1043.632568
X: 3.696970, Y: 159.747574, Z: -1039.591797
X: 8.424243, Y: 160.679611, Z: -1039.224365
X: 5.515152, Y: 161.844650, Z: -1039.102051
X: 1.757576, Y: 162.194168, Z: -1040.204102
X: 3.333334, Y: 163.708740, Z: -1043.020386
X: 10.000000, Y: 164.058243, Z: -1039.346924
X: 5.030303, Y: 158.699020, Z: -1041.061279
X: 6.121212, Y: 159.281555, Z: -1044.979492
X: 4.060606, Y: 161.029129, Z: -1043.877441
X: 6.969697, Y: 162.543686, Z: -1040.448975
X: 2.848485, Y: 161.262131, Z: -1042.653076
X: 6.484849, Y: 164.058243, Z: -1038.979492
X: 2.484849, Y: 163.359222, Z: -1038.612305
X: 4.060606, Y: 163.475723, Z: -1042.530518
X: 8.787879, Y: 165.223297, Z: -1041.306152
X: 5.636364, Y: 162.660187, Z: -1041.428467
X: 7.090909, Y: 162.310669, Z: -1038.244873
X: 4.909091, Y: 163.359222, Z: -1041.673462
X: 1.636364, Y: 159.165039, Z: -1040.326416
X: 0.787879, Y: 162.310669, Z: -1042.040771
X: 1.878788, Y: 164.174744, Z: -1041.306152
X: 5.272727, Y: 164.757278, Z: -1040.326416
X: 4.060606, Y: 164.524261, Z: -1044.122437
X: 8.424243, Y: 163.009705, Z: -1039.346924
X: 5.272727, Y: 163.592239, Z: -1044.122437
X: 5.393939, Y: 162.776688, Z: -1042.285645
X: 3.939394, Y: 169.999985, Z: -1039.102051
X: 4.303030, Y: 161.728149, Z: -1034.081543
X: 8.545455, Y: 158.349503, Z: -1048.285645
X: 8.303030, Y: 166.155334, Z: -1034.204102
X: -5.030302, Y: 167.203873, Z: -1040.326416
X: 5.515152, Y: 158.466003, Z: -1040.816284
X: 8.424243, Y: 164.990280, Z: -1040.448975
X: 2.000001, Y: 167.203873, Z: -1039.346924
X: 0.060606, Y: 159.398056, Z: -1045.959229
