SWV ITM Data Console - ITM Port: 0
X: 776.181763, Y: 477.456299, Z: 80.081635
X: 791.818115, Y: 468.951416, Z: 38.081627
X: 773.878723, Y: 342.660187, Z: -6.244900
X: 672.787842, Y: 254.233002, Z: -64.530609
X: 599.818115, Y: 110.349510, Z: 163.346924
X: 645.636292, Y: 34.970871, Z: 375.306091
X: 872.787781, Y: 36.834949, Z: 523.469360
X: 888.787842, Y: 98.582520, Z: 491.999939
X: 1020.666626, Y: 56.873779, Z: 391.469391
X: 1047.333252, Y: 49.067959, Z: 430.897949
X: 1030.605957, Y: 12.718447, Z: 370.530579
X: 1022.484802, Y: 13.533979, Z: 412.285706
X: 1123.333252, Y: 188.291245, Z: 521.877563
X: 1432.302856, Y: 294.077637, Z: 293.265289
X: 1617.757446, Y: 209.961166, Z: -48.489796
X: 1445.757568, Y: 171.398056, Z: -543.306091
X: 1347.939209, Y: 268.446594, Z: -625.469360
X: 1204.302979, Y: 394.737854, Z: -315.551025
X: 1084.424072, Y: 270.077637, Z: -167.510193
X: 1004.060547, Y: 309.106781, Z: -181.346939
X: 908.909058, Y: 281.378632, Z: -177.918365
X: 896.666626, Y: 311.087372, Z: -333.428558
X: 923.212036, Y: 276.834961, Z: -403.469391
X: 729.636353, Y: 131.436890, Z: -135.061218
X: 515.090820, Y: 53.961163, Z: -30.122450
X: 359.090912, Y: 57.922325, Z: 62.938766
X: 555.818115, Y: 75.864075, Z: 190.163254
X: 625.272705, Y: 9.922331, Z: 513.673462
X: 749.999939, Y: 94.388344, Z: 538.040833
X: 952.545410, Y: 21.339804, Z: 474.612244
X: 933.515076, Y: -46.699028, Z: 759.918335
X: 926.363525, Y: 36.485435, Z: 748.653015
X: 1066.969727, Y: -97.495140, Z: 416.816315
X: 1132.666504, Y: -45.650482, Z: 495.551025
X: 1227.818115, Y: -30.970875, Z: 475.959167
X: 1292.302979, Y: 24.368931, Z: 661.469360
X: 1253.757446, Y: 79.592232, Z: 522.612183
X: 1251.575562, Y: 28.213593, Z: 434.571411
X: 1150.121094, Y: 42.660191, Z: 432.000000
X: 1097.878784, Y: 25.417477, Z: 300.244873
X: 1100.060547, Y: 121.533981, Z: 358.775513
X: 1039.090820, Y: 205.766983, Z: 399.918365
X: 1109.757568, Y: 261.106781, Z: 249.183685
X: 1172.302856, Y: 197.961166, Z: 199.102051
X: 1088.302979, Y: 248.640778, Z: 178.897949
X: 1137.030273, Y: 197.378632, Z: 94.653061
X: 1112.787842, Y: 150.427170, Z: 52.408157
X: 1024.060547, Y: 213.456299, Z: 31.469383
X: 959.454468, Y: 270.776672, Z: 51.306114
X: 1001.151428, Y: 276.485413, Z: 75.428574
X: 855.939331, Y: 245.262115, Z: 95.142853
X: 738.484802, Y: 229.766983, Z: -36.367348
X: 692.424194, Y: 224.990280, Z: -33.428574
X: 588.909058, Y: 202.388336, Z: 19.346931
X: 579.575745, Y: 192.368927, Z: 122.571426
X: 595.212097, Y: 223.825241, Z: 330.612244
X: 648.060547, Y: 241.184464, Z: 330.612244
X: 714.848450, Y: 236.524261, Z: 390.122437
X: 792.545410, Y: 281.145630, Z: 442.285706
X: 904.666565, Y: 193.533981, Z: 434.204041
X: 926.727234, Y: 140.291260, Z: 430.530609
X: 980.060547, Y: 60.951454, Z: 431.387756
X: 1017.515076, Y: 43.475727, Z: 332.326508
X: 1073.151489, Y: -11.864078, Z: 320.204071
X: 1123.818115, Y: -37.961166, Z: 202.775482
X: 1179.939331, Y: -46.932037, Z: 313.836731
X: 1139.212036, Y: 0.485437, Z: 349.346924
X: 1121.272705, Y: 1.300970, Z: 263.265289
X: 1190.848389, Y: 1.999999, Z: 232.163269
X: 1138.969604, Y: 11.786406, Z: 197.510193
X: 1189.636230, Y: 87.864075, Z: 235.224487
X: 1244.181763, Y: 37.883495, Z: 312.244873
X: 1254.363525, Y: 71.320381, Z: 368.448975
X: 1233.878784, Y: 121.999985, Z: 144.857132
X: 1308.666504, Y: 184.446594, Z: 105.918350
X: 1250.363525, Y: 237.922333, Z: 153.306107
X: 1264.302979, Y: 360.951447, Z: 206.448975
X: 1227.333130, Y: 357.689331, Z: 144.122437
X: 1141.515015, Y: 431.902924, Z: 45.306122
X: 1040.909058, Y: 455.320374, Z: 79.469376
X: 888.666626, Y: 377.844635, Z: -16.897961
X: 630.121155, Y: 389.844666, Z: -18.734695
X: 536.060547, Y: 328.330078, Z: -45.918369
X: 394.969666, Y: 237.456299, Z: 34.285713
X: 241.636337, Y: 223.941742, Z: 85.591827
X: 248.424225, Y: 242.932022, Z: 72.979584
X: 364.424225, Y: 227.203873, Z: 196.653046
X: 400.181793, Y: 88.330093, Z: 143.877548
X: 481.030243, Y: 124.912613, Z: 188.816315
X: 758.242371, Y: 109.300964, Z: 314.081635
X: 932.787842, Y: 41.961166, Z: 269.387726
X: 1178.484741, Y: 77.844658, Z: 398.326538
X: 1276.302979, Y: 104.291252, Z: 334.653046
X: 1386.242310, Y: -28.524271, Z: 358.163239
X: 1372.545288, Y: -47.747570, Z: 296.816315
X: 1358.121216, Y: -99.242714, Z: 208.653046
X: 1318.121094, Y: -142.582520, Z: 171.673462
X: 1225.515137, Y: -152.485428, Z: 126.000000
X: 1152.181763, Y: -243.708740, Z: -40.530613
X: 1058.363647, Y: -365.339813, Z: -31.836737
X: 889.757507, Y: -170.776688, Z: 119.265305
X: 1022.606018, Y: -214.233002, Z: -4.653065
X: 985.636292, Y: -374.893188, Z: -83.632652
X: 773.272644, Y: -238.582504, Z: -3.918369
X: 852.909058, Y: -159.242722, Z: 3.673466
X: 1035.575684, Y: -138.155334, Z: 32.693871
X: 1087.333252, Y: -195.941742, Z: 30.857140
X: 1182.242432, Y: -260.252411, Z: 20.204079
X: 1222.000000, Y: -193.262131, Z: 196.408173
X: 1348.545288, Y: -245.689316, Z: 157.591827
X: 1475.090820, Y: -192.796112, Z: 111.306107
X: 1391.818115, Y: -68.252426, Z: 153.795898
X: 1344.787720, Y: 83.669899, Z: 152.204071
X: 1344.060547, Y: 221.029114, Z: 148.408157
X: 1309.030151, Y: 339.048523, Z: 80.571426
X: 1193.030151, Y: 441.106781, Z: 59.632652
X: 1018.727173, Y: 544.796082, Z: 42.000000
X: 865.757507, Y: 394.737854, Z: 12.857147
X: 537.393921, Y: 329.728119, Z: -73.224487
X: 280.303009, Y: 333.223297, Z: -32.326530
X: 178.484848, Y: 282.077667, Z: 225.306122
X: 61.757572, Y: 197.145630, Z: 253.714294
X: -44.181816, Y: 195.281555, Z: 211.102020
X: 51.212120, Y: 297.106812, Z: 189.306107
X: 315.818146, Y: 393.339813, Z: 278.448975
X: 517.393921, Y: 187.009705, Z: 224.571442
X: 480.060577, Y: 93.456306, Z: -222.244904
X: 782.121155, Y: -12.679611, Z: 8.448982
X: 1027.333252, Y: -248.252411, Z: 137.265289
X: 1203.333252, Y: -299.048553, Z: 85.346939
X: 1465.878662, Y: -462.504822, Z: 187.346924
X: 1591.939331, Y: -614.427185, Z: 112.530609
X: 1483.696899, Y: -678.155334, Z: -304.040802
X: 1456.302979, Y: -849.999939, Z: -127.959183
