SWV ITM Data Console - ITM Port: 0
X: 887.818115, Y: -336.446594, Z: -92.204086
X: 891.454468, Y: -334.582520, Z: -45.428574
X: 908.424194, Y: -346.116486, Z: -28.040817
X: 889.999878, Y: -332.718445, Z: -69.551018
X: 874.121155, Y: -330.155304, Z: -48.489796
X: 810.848389, Y: -249.650482, Z: -92.693878
X: 874.848389, Y: -187.553391, Z: -74.204079
X: 1016.181763, Y: -263.631042, Z: -249.306107
X: 1889.030151, Y: -390.737854, Z: -644.938782
X: 2679.333008, Y: -716.485413, Z: -593.020386
X: 2331.211914, Y: -843.009705, Z: -139.714279
X: 1977.515015, Y: -739.902893, Z: -258.734680
X: 1246.727173, Y: -552.796143, Z: 107.265305
X: 823.090820, Y: -521.689331, Z: 144.734695
X: -84.909088, Y: -352.291260, Z: 229.714264
X: -704.302979, Y: -269.456299, Z: 108.000000
X: -791.575745, Y: -258.504822, Z: 23.632652
X: -674.484802, Y: -299.048553, Z: 117.183670
X: -347.575745, Y: -298.815521, Z: 366.367340
X: 467.090881, Y: -504.330109, Z: 125.632645
X: 975.575684, Y: -494.194183, Z: -91.959183
X: 1833.999878, Y: -531.708740, Z: 40.163261
X: 1721.999878, Y: -749.572815, Z: 212.448975
X: 1418.969604, Y: -920.368896, Z: -237.551025
X: 1491.939331, Y: -920.834900, Z: -118.775513
X: 1436.666626, Y: -742.582520, Z: 39.183670
X: 1446.969604, Y: -817.844604, Z: -372.367340
X: 899.212097, Y: -763.902832, Z: -104.448975
X: 966.484802, Y: -595.902893, Z: -54.000000
X: 1218.969604, Y: -536.485413, Z: -159.306122
X: 1388.302979, Y: -588.330078, Z: 131.510193
X: 1340.666626, Y: -729.999939, Z: -141.183670
X: 1603.696899, Y: -852.912537, Z: -126.244896
X: 1806.121094, Y: -1053.067993, Z: 83.387756
X: 1539.939331, Y: -1040.368896, Z: 68.448975
X: 1360.666504, Y: -992.834961, Z: -105.673462
X: 1283.696899, Y: -886.466003, Z: -163.959183
X: 1109.393921, Y: -636.912598, Z: -92.816330
X: 1067.575684, Y: -490.932007, Z: -204.857132
X: 893.151489, Y: -226.815521, Z: -228.734695
X: 775.454468, Y: -48.330097, Z: 115.959183
X: 310.121185, Y: 34.970871, Z: 42.489792
X: -383.939362, Y: 157.533981, Z: 169.346924
X: -487.333282, Y: 189.456314, Z: 33.551018
X: -536.909058, Y: 156.601929, Z: 134.693878
X: -441.151489, Y: 15.165049, Z: 73.346924
X: -33.515148, Y: -178.582520, Z: 81.918365
X: 470.727234, Y: -397.611633, Z: 128.693878
X: 1184.181641, Y: -545.922302, Z: 76.653061
X: 1257.515015, Y: -758.077637, Z: 144.489792
X: 1651.575562, Y: -631.320312, Z: -213.428574
X: 1600.302979, Y: -526.582520, Z: 361.469360
X: 1237.636230, Y: -618.504883, Z: -82.775513
X: 934.606018, Y: -786.388306, Z: 84.734695
X: 957.999939, Y: -779.747559, Z: 37.224487
X: 1167.575684, Y: -754.349487, Z: 76.530609
X: 1219.333252, Y: -808.407715, Z: -149.632660
X: 1428.908936, Y: -845.456238, Z: -314.816345
X: 1173.030273, Y: -514.698975, Z: -22.040817
