SWV ITM Data Console - ITM Port: 0
X: 373.393890, Y: 845.378601, Z: -694.408142
X: 256.060577, Y: 773.844666, Z: -682.040771
X: 201.757568, Y: 743.436890, Z: -534.122437
X: 151.696960, Y: 660.485413, Z: -535.346924
X: -25.636360, Y: 644.990295, Z: -559.469360
X: -138.000000, Y: 689.961121, Z: -445.224487
X: -30.363632, Y: 713.495117, Z: -340.530579
X: -91.212112, Y: 698.466003, Z: -204.979599
X: -133.030289, Y: 723.514526, Z: -42.367348
X: -203.939377, Y: 624.368896, Z: -87.428574
X: -181.030289, Y: 485.029083, Z: -85.469391
X: -100.666656, Y: 357.689331, Z: 96.367340
X: 159.333328, Y: 264.718445, Z: 66.122444
X: 238.727264, Y: -201.883499, Z: -29.265308
X: 173.272720, Y: -212.601929, Z: 173.510193
X: 676.909058, Y: -268.640778, Z: 126.734695
X: 894.121155, Y: -649.029114, Z: 16.408157
X: 873.999939, Y: -726.854370, Z: 139.346939
X: 1106.484863, Y: -853.611633, Z: 384.734680
X: 1218.606079, Y: -880.640747, Z: 306.244873
X: 1009.999939, Y: -1095.475586, Z: 110.571426
X: 854.848389, Y: -1117.961060, Z: 14.448975
X: 874.363586, Y: -1199.864014, Z: -166.040817
X: 802.848450, Y: -1360.291138, Z: -322.897949
X: 770.363586, Y: -1493.106812, Z: -245.632645
X: 674.242371, Y: -1623.009644, Z: -328.530609
X: 325.999969, Y: -1422.271851, Z: -295.346924
X: 250.606049, Y: -1132.757202, Z: -173.387756
X: 616.302979, Y: -1081.262085, Z: -78.000000
X: 524.424194, Y: -824.951416, Z: -18.122448
X: 755.212097, Y: -836.601868, Z: 41.142853
X: 864.787842, Y: -1018.000000, Z: -15.428570
X: 969.151489, Y: -1244.019287, Z: -47.387756
X: 1090.605957, Y: -1395.242676, Z: 193.102036
X: 1164.787842, Y: -1700.019409, Z: 135.183670
X: 1243.818115, Y: -1698.271729, Z: 135.183670
X: 1217.272583, Y: -1370.077637, Z: 417.306091
X: 1345.757568, Y: -1284.796021, Z: 287.510193
X: 1501.757446, Y: -1080.796021, Z: 94.897964
X: 1273.515137, Y: -784.174683, Z: -286.775513
X: 737.393921, Y: -539.631042, Z: -291.061218
X: 234.484833, Y: -195.359222, Z: -31.714287
X: 36.909088, Y: -22.349514, Z: 110.816315
X: -59.212112, Y: -19.320389, Z: 124.897949
X: -147.939392, Y: -76.757286, Z: 44.571426
X: -161.030289, Y: -199.320389, Z: -149.020416
X: -54.969696, Y: -350.893188, Z: 23.510201
X: 234.727264, Y: -457.611633, Z: 99.673462
X: 513.636353, Y: -860.019348, Z: -188.204086
X: 837.515076, Y: -828.213562, Z: 96.857147
X: 1264.666626, Y: -958.932007, Z: 95.265305
X: 1548.181641, Y: -1034.427246, Z: 252.367340
X: 1587.090820, Y: -1007.514465, Z: 270.000000
X: 1303.333252, Y: -1307.747437, Z: 149.387756
X: 898.969604, Y: -1075.669922, Z: -16.897961
X: 767.212036, Y: -1079.747559, Z: 39.918365
X: 706.121155, Y: -931.553345, Z: 240.000000
X: 725.878723, Y: -852.446533, Z: 90.367340
X: 663.696899, Y: -804.446533, Z: 41.020409
X: 828.302979, Y: -888.912598, Z: 36.979591
X: 1092.787842, Y: -907.786377, Z: 75.061218
X: 1266.242310, Y: -1102.815552, Z: 184.775497
X: 1316.545410, Y: -1450.116455, Z: 114.367340
X: 1134.363525, Y: -1302.737915, Z: 269.632629
X: 1110.727173, Y: -1335.126221, Z: 181.102036
X: 1271.333252, Y: -1112.019409, Z: -8.693878
X: 1345.878784, Y: -1037.922363, Z: -57.306122
X: 1265.272583, Y: -816.912598, Z: -151.102036
X: 1028.908936, Y: -477.533966, Z: -78.000000
X: 826.727234, Y: -303.475708, Z: -150.367340
X: 643.575745, Y: -97.844658, Z: -128.204071
X: 407.090881, Y: 100.563103, Z: 26.081635
X: 224.545441, Y: 219.747574, Z: 118.163254
X: 85.757568, Y: 203.320389, Z: 205.959167
X: -276.787842, Y: 165.456314, Z: 57.306122
X: -385.636322, Y: -42.271843, Z: -95.510208
X: -133.515152, Y: -242.893188, Z: 260.938751
X: 105.636360, Y: -220.757278, Z: -88.408165
X: 971.333252, Y: -784.757263, Z: -196.040802
X: 1080.302979, Y: -414.737854, Z: 600.122437
X: 1429.636230, Y: -739.553406, Z: -680.571411
X: 1425.878662, Y: -962.194092, Z: -26.693878
X: 1141.515015, Y: -828.330078, Z: -49.714287
X: 1449.999878, Y: -988.640747, Z: 217.591858
X: 1130.727295, Y: -727.436829, Z: 45.795921
X: 1304.666626, Y: -876.796082, Z: -210.122437
X: 958.363586, Y: -982.932007, Z: -36.367348
X: 576.909058, Y: -1060.291138, Z: -75.551018
X: 469.515106, Y: -1060.407715, Z: -57.918365
X: 375.818176, Y: -1133.572876, Z: -49.102043
X: 390.606018, Y: -951.475708, Z: -30.367348
X: 817.272705, Y: -777.417480, Z: -124.897957
X: 646.242371, Y: -749.456238, Z: -88.897957
X: 549.272705, Y: -836.951477, Z: -76.285713
X: 718.605957, Y: -858.621277, Z: 34.530609
X: 936.545349, Y: -1150.232910, Z: 45.551018
X: 873.878723, Y: -1359.592163, Z: -152.571426
X: 973.272644, Y: -1287.242676, Z: 177.918350
X: 1110.848389, Y: -1402.116455, Z: 12.122452
X: 1132.302979, Y: -1339.553345, Z: -251.999985
X: 1077.636230, Y: -1072.757324, Z: -240.857132
X: 1266.969604, Y: -920.601929, Z: 65.755096
X: 1272.424072, Y: -781.961121, Z: -24.612244
X: 1026.484863, Y: -514.698975, Z: -2.938778
X: 968.787781, Y: -344.485413, Z: 246.000000
X: 656.060547, Y: -274.116516, Z: 263.877533
X: 296.909088, Y: -66.737862, Z: 234.122437
X: 104.909088, Y: 69.223297, Z: 107.510208
X: 37.272728, Y: 45.456310, Z: 142.775513
X: -240.303009, Y: -13.029126, Z: 101.142853
X: -334.727264, Y: -216.912613, Z: -21.551022
X: -114.848480, Y: -405.766968, Z: 170.938766
X: 248.303024, Y: -885.533936, Z: -29.265308
X: 828.787842, Y: -883.669922, Z: 1.591831
X: 1494.242432, Y: -945.766968, Z: 536.816345
X: 1370.848389, Y: -873.533997, Z: 289.836731
X: 1162.484741, Y: -1297.844604, Z: -324.000000
X: 1184.181641, Y: -1214.427124, Z: 120.489777
X: 1163.696899, Y: -1146.737793, Z: -118.163269
X: 1209.151489, Y: -995.864075, Z: 174.979584
X: 1190.121094, Y: -812.019348, Z: 105.306122
